freq,unit,age,sex,geo,time,value
A,NR,TOTAL,T,AT,2015,8584926
A,NR,TOTAL,T,AT,2016,8700471
A,NR,TOTAL,T,AT,2017,8772865
A,NR,TOTAL,T,AT,2018,8822267
A,NR,TOTAL,T,AT,2019,8858775
A,NR,TOTAL,T,AT,2020,8901064
A,NR,TOTAL,T,AT,2021,8932664
A,NR,TOTAL,T,AT,2022,8978929
A,NR,TOTAL,T,AT,2023,9104772
A,NR,TOTAL,T,AT,2024,9158750
A,NR,TOTAL,T,BE,2015,11237274
A,NR,TOTAL,T,BE,2016,11311117
A,NR,TOTAL,T,BE,2017,11351727
A,NR,TOTAL,T,BE,2018,11398589
A,NR,TOTAL,T,BE,2019,11455519
A,NR,TOTAL,T,BE,2020,11522440
A,NR,TOTAL,T,BE,2021,11554767
A,NR,TOTAL,T,BE,2022,11617623
A,NR,TOTAL,T,BE,2023,11742796
A,NR,TOTAL,T,BE,2024,11817096
A,NR,TOTAL,T,BG,2015,7029690
A,NR,TOTAL,T,BG,2016,6938759
A,NR,TOTAL,T,BG,2017,6849518
A,NR,TOTAL,T,BG,2018,6757418
A,NR,TOTAL,T,BG,2019,6664177
A,NR,TOTAL,T,BG,2020,6569275
A,NR,TOTAL,T,BG,2021,6532117
A,NR,TOTAL,T,BG,2022,6482484
A,NR,TOTAL,T,BG,2023,6447710
A,NR,TOTAL,T,BG,2024,6445481
A,NR,TOTAL,T,CY,2015,860846
A,NR,TOTAL,T,CY,2016,863764
A,NR,TOTAL,T,CY,2017,869878
A,NR,TOTAL,T,CY,2018,878601
A,NR,TOTAL,T,CY,2019,890194
A,NR,TOTAL,T,CY,2020,902429
A,NR,TOTAL,T,CY,2021,914476
A,NR,TOTAL,T,CY,2022,929764
A,NR,TOTAL,T,CY,2023,949084
A,NR,TOTAL,T,CY,2024,966365
A,NR,TOTAL,T,CZ,2015,10538275
A,NR,TOTAL,T,CZ,2016,10553843
A,NR,TOTAL,T,CZ,2017,10578820
A,NR,TOTAL,T,CZ,2018,10610055
A,NR,TOTAL,T,CZ,2019,10649800
A,NR,TOTAL,T,CZ,2020,10693939
A,NR,TOTAL,T,CZ,2021,10494836
A,NR,TOTAL,T,CZ,2022,10516707
A,NR,TOTAL,T,CZ,2023,10827529
A,NR,TOTAL,T,CZ,2024,10900555
A,NR,TOTAL,T,DE,2015,81197537
A,NR,TOTAL,T,DE,2016,82175684
