freq,age,sex,statinfo,unit,geo,time,value
A,TOTAL,T,MED_EI,PPS,AT,2015,21981
A,TOTAL,T,MED_EI,PPS,AT,2016,23071
A,TOTAL,T,MED_EI,PPS,AT,2017,23361
A,TOTAL,T,MED_EI,PPS,AT,2018,23204
A,TOTAL,T,MED_EI,PPS,AT,2019,23687
A,TOTAL,T,MED_EI,PPS,AT,2020,23334
A,TOTAL,T,MED_EI,PPS,AT,2021,24450
A,TOTAL,T,MED_EI,PPS,AT,2022,25119
A,TOTAL,T,MED_EI,PPS,AT,2023,28690
A,TOTAL,T,MED_EI,PPS,AT,2024,29758
A,TOTAL,T,MED_EI,PPS,BE,2015,19921
A,TOTAL,T,MED_EI,PPS,BE,2016,21335
A,TOTAL,T,MED_EI,PPS,BE,2017,20904
A,TOTAL,T,MED_EI,PPS,BE,2018,21353
A,TOTAL,T,MED_EI,PPS,BE,2019,22141
A,TOTAL,T,MED_EI,PPS,BE,2020,22391
A,TOTAL,T,MED_EI,PPS,BE,2021,22768
A,TOTAL,T,MED_EI,PPS,BE,2022,24159
A,TOTAL,T,MED_EI,PPS,BE,2023,25150
A,TOTAL,T,MED_EI,PPS,BE,2024,26361
A,TOTAL,T,MED_EI,PPS,BG,2015,6882
A,TOTAL,T,MED_EI,PPS,BG,2016,6742
A,TOTAL,T,MED_EI,PPS,BG,2017,7533
A,TOTAL,T,MED_EI,PPS,BG,2018,7218
A,TOTAL,T,MED_EI,PPS,BG,2019,8371
A,TOTAL,T,MED_EI,PPS,BG,2020,8647
A,TOTAL,T,MED_EI,PPS,BG,2021,9375
A,TOTAL,T,MED_EI,PPS,BG,2022,9671
A,TOTAL,T,MED_EI,PPS,BG,2023,11155
A,TOTAL,T,MED_EI,PPS,BG,2024,13079
A,TOTAL,T,MED_EI,PPS,CY,2015,15313
A,TOTAL,T,MED_EI,PPS,CY,2016,16173
A,TOTAL,T,MED_EI,PPS,CY,2017,16877
A,TOTAL,T,MED_EI,PPS,CY,2018,17505
A,TOTAL,T,MED_EI,PPS,CY,2019,18844
A,TOTAL,T,MED_EI,PPS,CY,2020,18652
A,TOTAL,T,MED_EI,PPS,CY,2021,18629
A,TOTAL,T,MED_EI,PPS,CY,2022,19891
A,TOTAL,T,MED_EI,PPS,CY,2023,20917
A,TOTAL,T,MED_EI,PPS,CY,2024,22817
A,TOTAL,T,MED_EI,PPS,CZ,2015,11652
A,TOTAL,T,MED_EI,PPS,CZ,2016,12478
A,TOTAL,T,MED_EI,PPS,CZ,2017,12641
A,TOTAL,T,MED_EI,PPS,CZ,2018,13264
A,TOTAL,T,MED_EI,PPS,CZ,2019,14035
A,TOTAL,T,MED_EI,PPS,CZ,2020,14151
A,TOTAL,T,MED_EI,PPS,CZ,2021,13815
A,TOTAL,T,MED_EI,PPS,CZ,2022,15354
A,TOTAL,T,MED_EI,PPS,CZ,2023,16208
A,TOTAL,T,MED_EI,PPS,CZ,2024,16972
A,TOTAL,T,MED_EI,PPS,DE,2015,20365
A,TOTAL,T,MED_EI,PPS,DE,2016,21152
A,TOTAL,T,MED_EI,PPS,DE,2017,21331
A,TOTAL,T,MED_EI,PPS,DE,2018,21980
A,TOTAL,T,MED_EI,PPS,DE,2019,22693
A,TOTAL,T,MED_EI,PPS,DE,2020,24229
A,TOTAL,T,MED_EI,PPS,DE,2021,23336
A,TOTAL,T,MED_EI,PPS,DE,2022,23127
A,TOTAL,T,MED_EI,PPS,DE,2023,24086
A,TOTAL,T,MED_EI,PPS,DE,2024,25192
A,TOTAL,T,MED_EI,PPS,DK,2015,20384
A,TOTAL,T,MED_EI,PPS,DK,2016,21355
A,TOTAL,T,MED_EI,PPS,DK,2017,20955
A,TOTAL,T,MED_EI,PPS,DK,2018,21646
A,TOTAL,T,MED_EI,PPS,DK,2019,22371
A,TOTAL,T,MED_EI,PPS,DK,2020,21796
A,TOTAL,T,MED_EI,PPS,DK,2021,22899
A,TOTAL,T,MED_EI,PPS,DK,2022,23244
A,TOTAL,T,MED_EI,PPS,DK,2023,22820
A,TOTAL,T,MED_EI,PPS,DK,2024,24297
A,TOTAL,T,MED_EI,PPS,EE,2015,10432
A,TOTAL,T,MED_EI,PPS,EE,2016,11867
A,TOTAL,T,MED_EI,PPS,EE,2017,12414
A,TOTAL,T,MED_EI,PPS,EE,2018,13378
A,TOTAL,T,MED_EI,PPS,EE,2019,14240
A,TOTAL,T,MED_EI,PPS,EE,2020,14331
A,TOTAL,T,MED_EI,PPS,EE,2021,14810
A,TOTAL,T,MED_EI,PPS,EE,2022,17064
A,TOTAL,T,MED_EI,PPS,EE,2023,15492
A,TOTAL,T,MED_EI,PPS,EE,2024,16482
A,TOTAL,T,MED_EI,PPS,EL,2015,8802
A,TOTAL,T,MED_EI,PPS,EL,2016,9048
A,TOTAL,T,MED_EI,PPS,EL,2017,9035
A,TOTAL,T,MED_EI,PPS,EL,2018,9245
A,TOTAL,T,MED_EI,PPS,EL,2019,9765
A,TOTAL,T,MED_EI,PPS,EL,2020,10175
A,TOTAL,T,MED_EI,PPS,EL,2021,9917
A,TOTAL,T,MED_EI,PPS,EL,2022,10841
A,TOTAL,T,MED_EI,PPS,EL,2023,11389
A,TOTAL,T,MED_EI,PPS,EL,2024,12436
A,TOTAL,T,MED_EI,PPS,ES,2015,14463
A,TOTAL,T,MED_EI,PPS,ES,2016,15347
A,TOTAL,T,MED_EI,PPS,ES,2017,15526
A,TOTAL,T,MED_EI,PPS,ES,2018,16030
A,TOTAL,T,MED_EI,PPS,ES,2019,16171
A,TOTAL,T,MED_EI,PPS,ES,2020,16661
A,TOTAL,T,MED_EI,PPS,ES,2021,16297
A,TOTAL,T,MED_EI,PPS,ES,2022,17254
A,TOTAL,T,MED_EI,PPS,ES,2023,19021
A,TOTAL,T,MED_EI,PPS,ES,2024,20800
A,TOTAL,T,MED_EI,PPS,FI,2015,19430
A,TOTAL,T,MED_EI,PPS,FI,2016,19997
A,TOTAL,T,MED_EI,PPS,FI,2017,19827
A,TOTAL,T,MED_EI,PPS,FI,2018,20048
A,TOTAL,T,MED_EI,PPS,FI,2019,20362
A,TOTAL,T,MED_EI,PPS,FI,2020,20290
A,TOTAL,T,MED_EI,PPS,FI,2021,20078
A,TOTAL,T,MED_EI,PPS,FI,2022,20941
A,TOTAL,T,MED_EI,PPS,FI,2023,21691
A,TOTAL,T,MED_EI,PPS,FI,2024,23055
A,TOTAL,T,MED_EI,PPS,FR,2015,19885
A,TOTAL,T,MED_EI,PPS,FR,2016,20621
A,TOTAL,T,MED_EI,PPS,FR,2017,20357
A,TOTAL,T,MED_EI,PPS,FR,2018,20223
