freq,unit,na_item,geo,time,value
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2015,35681.9
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2016,36385.1
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2017,37012.2
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2018,38419.4
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2019,39263.8
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2020,37385.6
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2021,40185.6
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2022,44569.5
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2023,46391.9
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2024,47527.9
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2015,33127.0
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2016,33631.0
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2017,34519.6
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2018,35579.3
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2019,36884.8
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2020,35850.5
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2021,38699.2
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2022,42520.4
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2023,45367.3
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2024,46587.9
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2015,13586.9
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2016,14411.0
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2017,15329.3
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2018,16273.7
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2019,17407.9
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2020,17473.0
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2021,19748.1
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2022,22421.2
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2023,24254.4
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2024,26324.3
A,CP_PPS_EU27_2020_HAB,B1GQ,CY,2015,22563.5
A,CP_PPS_EU27_2020_HAB,B1GQ,CY,2016,24483.3
A,CP_PPS_EU27_2020_HAB,B1GQ,CY,2017,25941.8
A,CP_PPS_EU27_2020_HAB,B1GQ,CY,2018,27303.3
A,CP_PPS_EU27_2020_HAB,B1GQ,CY,2019,28873.4
A,CP_PPS_EU27_2020_HAB,B1GQ,CY,2020,27194.2
A,CP_PPS_EU27_2020_HAB,B1GQ,CY,2021,30382.9
A,CP_PPS_EU27_2020_HAB,B1GQ,CY,2022,34492.5
A,CP_PPS_EU27_2020_HAB,B1GQ,CY,2023,37400.0
A,CP_PPS_EU27_2020_HAB,B1GQ,CY,2024,39456.4
A,CP_PPS_EU27_2020_HAB,B1GQ,CZ,2015,24603.7
A,CP_PPS_EU27_2020_HAB,B1GQ,CZ,2016,25443.3
A,CP_PPS_EU27_2020_HAB,B1GQ,CZ,2017,27214.7
A,CP_PPS_EU27_2020_HAB,B1GQ,CZ,2018,28492.8
A,CP_PPS_EU27_2020_HAB,B1GQ,CZ,2019,30008.3
A,CP_PPS_EU27_2020_HAB,B1GQ,CZ,2020,29178.2
A,CP_PPS_EU27_2020_HAB,B1GQ,CZ,2021,30502.4
A,CP_PPS_EU27_2020_HAB,B1GQ,CZ,2022,32419.7
A,CP_PPS_EU27_2020_HAB,B1GQ,CZ,2023,34973.9
A,CP_PPS_EU27_2020_HAB,B1GQ,CZ,2024,36255.5
A,CP_PPS_EU27_2020_HAB,B1GQ,DE,2015,35148.9
A,CP_PPS_EU27_2020_HAB,B1GQ,DE,2016,36132.4
A,CP_PPS_EU27_2020_HAB,B1GQ,DE,2017,37613.5
A,CP_PPS_EU27_2020_HAB,B1GQ,DE,2018,38726.7
A,CP_PPS_EU27_2020_HAB,B1GQ,DE,2019,39216.9
A,CP_PPS_EU27_2020_HAB,B1GQ,DE,2020,38270.8
A,CP_PPS_EU27_2020_HAB,B1GQ,DE,2021,40874.4
A,CP_PPS_EU27_2020_HAB,B1GQ,DE,2022,43577.4
A,CP_PPS_EU27_2020_HAB,B1GQ,DE,2023,45519.2
A,CP_PPS_EU27_2020_HAB,B1GQ,DE,2024,47008.3
A,CP_PPS_EU27_2020_HAB,B1GQ,DK,2015,35165.0
A,CP_PPS_EU27_2020_HAB,B1GQ,DK,2016,35992.7
A,CP_PPS_EU27_2020_HAB,B1GQ,DK,2017,37964.1
A,CP_PPS_EU27_2020_HAB,B1GQ,DK,2018,38810.6
A,CP_PPS_EU27_2020_HAB,B1GQ,DK,2019,39393.0
A,CP_PPS_EU27_2020_HAB,B1GQ,DK,2020,40054.4
A,CP_PPS_EU27_2020_HAB,B1GQ,DK,2021,44240.3
A,CP_PPS_EU27_2020_HAB,B1GQ,DK,2022,48465.5
A,CP_PPS_EU27_2020_HAB,B1GQ,DK,2023,48240.3
A,CP_PPS_EU27_2020_HAB,B1GQ,DK,2024,51785.4
A,CP_PPS_EU27_2020_HAB,B1GQ,EE,2015,21398.6
A,CP_PPS_EU27_2020_HAB,B1GQ,EE,2016,22190.6
A,CP_PPS_EU27_2020_HAB,B1GQ,EE,2017,23734.0
A,CP_PPS_EU27_2020_HAB,B1GQ,EE,2018,25227.3
A,CP_PPS_EU27_2020_HAB,B1GQ,EE,2019,26438.1
A,CP_PPS_EU27_2020_HAB,B1GQ,EE,2020,25994.6
A,CP_PPS_EU27_2020_HAB,B1GQ,EE,2021,28242.8
A,CP_PPS_EU27_2020_HAB,B1GQ,EE,2022,30146.6
A,CP_PPS_EU27_2020_HAB,B1GQ,EE,2023,30454.9
A,CP_PPS_EU27_2020_HAB,B1GQ,EE,2024,31583.4
A,CP_PPS_EU27_2020_HAB,B1GQ,EL,2015,19131.7
A,CP_PPS_EU27_2020_HAB,B1GQ,EL,2016,19106.0
A,CP_PPS_EU27_2020_HAB,B1GQ,EL,2017,19700.8
A,CP_PPS_EU27_2020_HAB,B1GQ,EL,2018,20203.0
A,CP_PPS_EU27_2020_HAB,B1GQ,EL,2019,20765.1
A,CP_PPS_EU27_2020_HAB,B1GQ,EL,2020,18866.4
A,CP_PPS_EU27_2020_HAB,B1GQ,EL,2021,21245.7
A,CP_PPS_EU27_2020_HAB,B1GQ,EL,2022,24026.4
A,CP_PPS_EU27_2020_HAB,B1GQ,EL,2023,26263.1
A,CP_PPS_EU27_2020_HAB,B1GQ,EL,2024,27373.2
A,CP_PPS_EU27_2020_HAB,B1GQ,ES,2015,25351.1
A,CP_PPS_EU27_2020_HAB,B1GQ,ES,2016,26145.0
A,CP_PPS_EU27_2020_HAB,B1GQ,ES,2017,27390.8
A,CP_PPS_EU27_2020_HAB,B1GQ,ES,2018,27853.5
A,CP_PPS_EU27_2020_HAB,B1GQ,ES,2019,28663.4
A,CP_PPS_EU27_2020_HAB,B1GQ,ES,2020,25131.2
A,CP_PPS_EU27_2020_HAB,B1GQ,ES,2021,28285.0
A,CP_PPS_EU27_2020_HAB,B1GQ,ES,2022,31781.2
A,CP_PPS_EU27_2020_HAB,B1GQ,ES,2023,34768.5
A,CP_PPS_EU27_2020_HAB,B1GQ,ES,2024,36413.1
A,CP_PPS_EU27_2020_HAB,B1GQ,FI,2015,30379.3
A,CP_PPS_EU27_2020_HAB,B1GQ,FI,2016,30955.1
A,CP_PPS_EU27_2020_HAB,B1GQ,FI,2017,32444.6
A,CP_PPS_EU27_2020_HAB,B1GQ,FI,2018,33393.2
A,CP_PPS_EU27_2020_HAB,B1GQ,FI,2019,33999.7
A,CP_PPS_EU27_2020_HAB,B1GQ,FI,2020,34039.9
A,CP_PPS_EU27_2020_HAB,B1GQ,FI,2021,36222.4
A,CP_PPS_EU27_2020_HAB,B1GQ,FI,2022,38350.4
A,CP_PPS_EU27_2020_HAB,B1GQ,FI,2023,39690.3
A,CP_PPS_EU27_2020_HAB,B1GQ,FI,2024,40871.6
A,CP_PPS_EU27_2020_HAB,B1GQ,FR,2015,29516.0
A,CP_PPS_EU27_2020_HAB,B1GQ,FR,2016,29858.6
A,CP_PPS_EU27_2020_HAB,B1GQ,FR,2017,30585.2
A,CP_PPS_EU27_2020_HAB,B1GQ,FR,2018,31463.5
A,CP_PPS_EU27_2020_HAB,B1GQ,FR,2019,33247.6
A,CP_PPS_EU27_2020_HAB,B1GQ,FR,2020,31555.5
A,CP_PPS_EU27_2020_HAB,B1GQ,FR,2021,33443.0
A,CP_PPS_EU27_2020_HAB,B1GQ,FR,2022,35145.8
A,CP_PPS_EU27_2020_HAB,B1GQ,FR,2023,38055.1
A,CP_PPS_EU27_2020_HAB,B1GQ,FR,2024,39294.2
A,CP_PPS_EU27_2020_HAB,B1GQ,HR,2015,17084.7
A,CP_PPS_EU27_2020_HAB,B1GQ,HR,2016,17960.8
A,CP_PPS_EU27_2020_HAB,B1GQ,HR,2017,19169.3
A,CP_PPS_EU27_2020_HAB,B1GQ,HR,2018,20216.2
A,CP_PPS_EU27_2020_HAB,B1GQ,HR,2019,21518.8
A,CP_PPS_EU27_2020_HAB,B1GQ,HR,2020,20213.9
A,CP_PPS_EU27_2020_HAB,B1GQ,HR,2021,23588.3
A,CP_PPS_EU27_2020_HAB,B1GQ,HR,2022,26007.8
A,CP_PPS_EU27_2020_HAB,B1GQ,HR,2023,29847.3
A,CP_PPS_EU27_2020_HAB,B1GQ,HR,2024,31053.1
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2015,19369.1
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2016,19574.4
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2017,20419.5
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2018,21875.5
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2019,23171.4
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2020,22731.5
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2021,24805.4
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2022,27305.6
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2023,28968.6
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2024,30445.5
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2015,51462.7
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2016,50754.0
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2017,55280.2
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2018,58626.5
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2019,59944.4
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2020,62296.2
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2021,74720.4
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2022,86108.3
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2023,82972.1
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2024,88342.7
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2015,26880.4
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2016,28121.1
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2017,28946.7
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2018,29555.4
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2019,30348.1
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2020,28386.4
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2021,31782.5
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2022,35348.2
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2023,37697.0
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2024,39068.5
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2015,20741.3
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2016,21376.1
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2017,23073.2
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2018,24746.4
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2019,26382.0
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2020,26359.5
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2021,29277.0
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2022,31269.3
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2023,32931.3
