freq,siec,nrg_cons,unit,tax,currency,geo,time,value
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2007-S2,0.174
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2008-S1,0.1779
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2008-S2,0.1772
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2009-S1,0.1909
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2009-S2,0.1909
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2010-S1,0.1967
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2010-S2,0.193
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2011-S1,0.1986
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2011-S2,0.1965
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2012-S1,0.1975
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2012-S2,0.2024
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2013-S1,0.2082
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2013-S2,0.2018
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2014-S1,0.2021
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2014-S2,0.1987
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2015-S1,0.2009
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2015-S2,0.1983
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2016-S1,0.2034
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2016-S2,0.201
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2017-S1,0.195
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2017-S2,0.1978
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2018-S1,0.1966
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2018-S2,0.2012
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2019-S1,0.2034
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2019-S2,0.2074
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2020-S1,0.2111
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2020-S2,0.2167
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2021-S1,0.2216
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2021-S2,0.2285
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2022-S1,0.2249
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2022-S2,0.237
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2023-S1,0.2653
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2023-S2,0.2748
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2024-S1,0.2731
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2024-S2,0.2437
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2025-S1,0.2905
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,AT,2025-S2,0.3272
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2007-S2,0.1683
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2008-S1,0.1972
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2008-S2,0.2152
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2009-S1,0.1916
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2009-S2,0.1864
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2010-S1,0.1959
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2010-S2,0.1974
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2011-S1,0.2136
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2011-S2,0.2119
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2012-S1,0.2327
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2012-S2,0.2223
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2013-S1,0.2173
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2013-S2,0.2215
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2014-S1,0.2097
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2014-S2,0.2043
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2015-S1,0.2126
