country_code,country,region,year,new_cars_total,new_cars_bev,new_cars_phev,gdp_per_capita_pps,aic_per_capita_pps,median_disposable_income,population,electricity_price,environmental_expenditure,fuel_price
AT,Austria,Западная Европа,2015,308555.0,1677.0,1101.0,35681.9,23093.3,21981,8584926,0.1996,0.4,1.2020816326530612
AT,Austria,Западная Европа,2016,329604.0,3826.0,1237.0,36385.1,23408.9,23071,8700471,0.2022,0.4,1.11142
AT,Austria,Западная Европа,2017,353320.0,5433.0,1721.0,37012.2,23882.3,23361,8772865,0.19640000000000002,0.4,1.17744
AT,Austria,Западная Европа,2018,341068.0,6757.0,2258.0,38419.4,24516.7,23204,8822267,0.1989,0.4,1.26434
AT,Austria,Западная Европа,2019,329363.0,9242.0,2156.0,39263.8,24965.0,23687,8858775,0.2054,0.4,1.238204081632653
AT,Austria,Западная Европа,2020,248740.0,15972.0,7641.0,37385.6,23604.3,23334,8901064,0.2139,0.4,1.08368
AT,Austria,Западная Европа,2021,239803.0,33366.0,14626.0,40185.6,25686.7,24450,8932664,0.22505,0.4,1.2833673469387754
AT,Austria,Западная Европа,2022,215050.0,34165.0,13268.0,44569.5,28670.4,25119,8978929,0.23095,0.5,1.7277058823529412
AT,Austria,Западная Европа,2023,239150.0,47621.0,16956.0,46391.9,30138.3,28690,9104772,0.27005,0.6,1.5954117647058825
AT,Austria,Западная Европа,2024,253789.0,44622.0,16928.0,47527.9,31379.6,29758,9158750,0.2584,0.7,1.5682452830188678
BE,Belgium,Западная Европа,2015,506284.0,1360.0,,33127.0,22339.7,19921,11237274,0.2239,1.3,1.365825918367347
BE,Belgium,Западная Европа,2016,546142.0,2061.0,,33631.0,22670.2,21335,11311117,0.26445,1.2,1.2633166
BE,Belgium,Западная Европа,2017,553692.0,2717.0,,34519.6,23338.4,20904,11351727,0.2867,1.3,1.3504261999999998
BE,Belgium,Западная Европа,2018,557487.0,3763.0,,35579.3,24076.4,21353,11398589,0.28800000000000003,1.3,1.4031835999999998
BE,Belgium,Западная Европа,2019,558003.0,8892.0,,36884.8,24638.0,22141,11455519,0.28495,1.3,1.391061224489796
BE,Belgium,Западная Европа,2020,439038.0,15044.0,,35850.5,23612.1,22391,11522440,0.2747,1.4,1.2775436
BE,Belgium,Западная Европа,2021,392769.0,22774.0,,38699.2,25314.9,22768,11554767,0.2848,1.4,1.4857632653061223
BE,Belgium,Западная Европа,2022,374597.0,37760.0,59269.0,42520.4,28396.9,24159,11617623,0.3963,1.2,1.797892745098039
BE,Belgium,Западная Европа,2023,484639.0,93482.0,100308.0,45367.3,30338.0,25150,11742796,0.4064,1.2,1.723139807692308
BE,Belgium,Западная Европа,2024,456303.0,127915.0,67034.0,46587.9,31479.6,26361,11817096,0.33335,1.2,1.635917358490566
BG,Bulgaria,Восточная Европа,2015,17271.0,10.0,,13586.9,9522.7,6882,7029690,0.09495,0.8,1.1029548979591837
BG,Bulgaria,Восточная Европа,2016,20386.0,11.0,,14411.0,9841.1,6742,6938759,0.0947,0.7,0.9838294000000001
BG,Bulgaria,Восточная Европа,2017,25995.0,13.0,,15329.3,10396.1,7533,6849518,0.0969,0.7,1.0259268
BG,Bulgaria,Восточная Европа,2018,28584.0,145.0,,16273.7,11035.1,7218,6757418,0.09920000000000001,0.7,1.0982826
BG,Bulgaria,Восточная Европа,2019,32885.0,188.0,,17407.9,11743.7,8371,6664177,0.09775,0.7,1.0842144897959183
BG,Bulgaria,Восточная Европа,2020,20429.0,139.0,41.0,17473.0,11830.3,8647,6569275,0.09895,0.7,0.9311896000000001
BG,Bulgaria,Восточная Европа,2021,24467.0,321.0,97.0,19748.1,13391.8,9375,6532117,0.10575000000000001,0.8,1.075895306122449
BG,Bulgaria,Восточная Европа,2022,28568.0,1021.0,141.0,22421.2,15053.2,9671,6482484,0.11199999999999999,0.7,1.463731176470588
BG,Bulgaria,Восточная Европа,2023,37476.0,1754.0,355.0,24254.4,16312.1,11155,6447710,0.11649999999999999,0.6,1.3377064705882353
BG,Bulgaria,Восточная Европа,2024,42799.0,1665.0,467.0,26324.3,17891.3,13079,6445481,0.1202,0.6,1.3106739682646873
CY,Cyprus,Южная Европа,2015,10078.0,4.0,,22563.5,16985.7,15313,860846,0.18975,0.7,1.2285032653061225
CY,Cyprus,Южная Европа,2016,12468.0,7.0,,24483.3,17860.7,16173,863764,0.15739999999999998,0.6,1.1451035999999999
CY,Cyprus,Южная Европа,2017,13118.0,18.0,,25941.8,18817.7,16877,869878,0.18445,0.5,1.2081784
CY,Cyprus,Южная Европа,2018,13126.0,5.0,,27303.3,19647.8,17505,878601,0.20379999999999998,0.5,1.2799669999999999
CY,Cyprus,Южная Европа,2019,12601.0,58.0,,28873.4,20649.1,18844,890194,0.22194999999999998,0.5,1.1830710204081634
CY,Cyprus,Южная Европа,2020,10237.0,42.0,,27194.2,19596.4,18652,902429,0.19155,0.7,1.0802954
CY,Cyprus,Южная Европа,2021,10611.0,78.0,84.0,30382.9,20565.0,18629,914476,0.214,0.7,1.24614693877551
CY,Cyprus,Южная Европа,2022,11577.0,401.0,231.0,34492.5,23490.7,19891,929764,0.2934,0.7,1.5368096078431372
