freq,unit,mot_nrg,geo,time,value
A,NR,ALT,AT,2015,2389
A,NR,ALT,AT,2016,4317
A,NR,ALT,AT,2017,5868
A,NR,ALT,AT,2018,7406
A,NR,ALT,AT,2019,9841
A,NR,ALT,AT,2020,16393
A,NR,ALT,AT,2021,33466
A,NR,ALT,AT,2022,34242
A,NR,ALT,AT,2023,47642
A,NR,ALT,AT,2024,44635
A,NR,ALT,BE,2015,2146
A,NR,ALT,BE,2016,4453
A,NR,ALT,BE,2017,5408
A,NR,ALT,BE,2018,7931
A,NR,ALT,BE,2019,12525
A,NR,ALT,BE,2020,18919
A,NR,ALT,BE,2021,25866
A,NR,ALT,BE,2022,40652
A,NR,ALT,BE,2023,97043
A,NR,ALT,BE,2024,131433
A,NR,ALT,BG,2020,303
A,NR,ALT,BG,2021,416
A,NR,ALT,BG,2022,1042
A,NR,ALT,BG,2023,1783
A,NR,ALT,BG,2024,1786
A,NR,ALT,CY,2015,4
A,NR,ALT,CY,2016,7
A,NR,ALT,CY,2017,18
A,NR,ALT,CY,2018,5
A,NR,ALT,CY,2019,58
A,NR,ALT,CY,2020,42
A,NR,ALT,CY,2021,80
A,NR,ALT,CY,2022,403
A,NR,ALT,CY,2023,788
A,NR,ALT,CY,2024,1193
A,NR,ALT,CZ,2020,5870
A,NR,ALT,CZ,2021,6726
A,NR,ALT,CZ,2022,8584
A,NR,ALT,CZ,2023,10661
A,NR,ALT,CZ,2024,15523
A,NR,ALT,DE,2015,56202
A,NR,ALT,DE,2016,65703
A,NR,ALT,DE,2017,33326
A,NR,ALT,DE,2018,51711
A,NR,ALT,DE,2019,78487
A,NR,ALT,DE,2020,208271
A,NR,ALT,DE,2021,370529
A,NR,ALT,DE,2022,488321
A,NR,ALT,DE,2023,539070
A,NR,ALT,DE,2024,394733
A,NR,ALT,DK,2015,1315
A,NR,ALT,DK,2016,1315
A,NR,ALT,DK,2017,753
A,NR,ALT,DK,2018,1557
A,NR,ALT,DK,2019,5515
A,NR,ALT,DK,2020,14263
A,NR,ALT,DK,2021,24951
A,NR,ALT,DK,2022,30805
A,NR,ALT,DK,2023,62577
A,NR,ALT,DK,2024,89058
A,NR,ALT,EE,2015,46
A,NR,ALT,EE,2016,35
A,NR,ALT,EE,2017,35
A,NR,ALT,EE,2018,86
A,NR,ALT,EE,2019,655
A,NR,ALT,EE,2020,1008
A,NR,ALT,EE,2021,954
A,NR,ALT,EE,2022,979
A,NR,ALT,EE,2023,1515
A,NR,ALT,EE,2024,1469
A,NR,ALT,EL,2021,5568
A,NR,ALT,EL,2022,6536
A,NR,ALT,EL,2023,10154
A,NR,ALT,EL,2024,12143
A,NR,ALT,ES,2015,5121
A,NR,ALT,ES,2016,5522
A,NR,ALT,ES,2017,12531
A,NR,ALT,ES,2018,34090
A,NR,ALT,ES,2019,42864
A,NR,ALT,ES,2020,33560
A,NR,ALT,ES,2021,40091
A,NR,ALT,ES,2022,47636
A,NR,ALT,ES,2023,82720
A,NR,ALT,ES,2024,93935
A,NR,ALT,FI,2015,506
A,NR,ALT,FI,2016,402
A,NR,ALT,FI,2017,936
A,NR,ALT,FI,2018,1937
A,NR,ALT,FI,2019,4039
A,NR,ALT,FI,2020,6086
A,NR,ALT,FI,2021,11075
A,NR,ALT,FI,2022,15153
A,NR,ALT,FI,2023,30007
A,NR,ALT,FI,2024,22027
A,NR,ALT,FR,2015,19181
A,NR,ALT,FR,2016,23419
A,NR,ALT,FR,2017,26597
A,NR,ALT,FR,2018,34030
A,NR,ALT,FR,2019,45968
A,NR,ALT,FR,2020,129367
A,NR,ALT,FR,2021,212089
A,NR,ALT,FR,2022,254315
A,NR,ALT,FR,2023,366779
A,NR,ALT,FR,2024,352309
A,NR,ALT,HR,2015,1063
A,NR,ALT,HR,2016,1544
A,NR,ALT,HR,2017,1542
A,NR,ALT,HR,2018,2404
A,NR,ALT,HR,2019,3341
A,NR,ALT,HR,2020,1248
A,NR,ALT,HR,2021,2916
A,NR,ALT,HR,2022,2638
A,NR,ALT,HR,2023,2413
A,NR,ALT,HR,2024,1676
A,NR,ALT,HU,2015,270
A,NR,ALT,HU,2016,282
A,NR,ALT,HU,2017,808
A,NR,ALT,HU,2018,1382
A,NR,ALT,HU,2019,1962
A,NR,ALT,HU,2020,3413
A,NR,ALT,HU,2021,5040
A,NR,ALT,HU,2022,5603
A,NR,ALT,HU,2023,6370
A,NR,ALT,HU,2024,8933
A,NR,ALT,IE,2015,2212
A,NR,ALT,IE,2016,3346
A,NR,ALT,IE,2017,631
A,NR,ALT,IE,2018,1252
A,NR,ALT,IE,2019,3666
A,NR,ALT,IE,2020,4075
A,NR,ALT,IE,2021,9515
A,NR,ALT,IE,2022,16597
A,NR,ALT,IE,2023,23181
A,NR,ALT,IE,2024,17781
A,NR,ALT,IT,2015,185333
A,NR,ALT,IT,2016,146790
A,NR,ALT,IT,2017,163320
A,NR,ALT,IT,2018,169393
A,NR,ALT,IT,2019,185884
