country,region,ev_share,gdp_per_capita_pps
Denmark,Северная Европа,51.34180017410254,51785.4
Malta,Южная Европа,37.65456202004425,43805.0
Sweden,Северная Европа,34.92081080282481,44772.2
Netherlands,Западная Европа,34.647396995252485,53149.4
Finland,Северная Европа,29.524130948363144,40871.6
Italy,Южная Европа,4.183536440595994,39068.5
Bulgaria,Восточная Европа,3.890277810229211,26324.3
Poland,Восточная Европа,2.988553860365757,31463.0
Slovakia,Восточная Европа,2.4327099536834744,29808.2
Croatia,Южная Европа,1.8449566999958165,31053.1
